model,term,coefficient,odds_ratio,or_ci_low,or_ci_high,z_value,p_value,term_type,reference,attenuation_vs_model_1_pct
model_1_strategy_seed,strategy[default],-6.660026029633502e-16,0.9999999999999993,0.8932079840384597,1.1195600776861627,-1.1558468319297999e-14,0.9999999999999908,strategy,random,-0.0
model_1_strategy_seed,strategy[edge_first],0.03804811059543387,1.0387812080587655,0.9280269597556258,1.1627532873615818,0.6614562105361149,0.5083197880943782,strategy,random,0.0
model_1_strategy_seed,strategy[inner_first],0.06436942317774576,1.0664863107588574,0.9528940142305765,1.1936196828295087,1.120253326368084,0.26260582533333937,strategy,random,0.0
model_1_strategy_seed,strategy[highest_p_wolf],-0.2405284374350662,0.7862122872693461,0.7010503770026675,0.8817194611549933,-4.112060119747757,3.921441442879536e-05,strategy,random,-0.0
model_1_strategy_seed,strategy[highest_suspicion],-0.24229033457373764,0.7848282816857853,0.6998052703622866,0.880181184424325,-4.14161278116803,3.4487222033605156e-05,strategy,random,-0.0
model_1_strategy_seed,strategy[left_to_right],0.013263907002994244,1.01335226283315,0.905197429008753,1.1344296566480148,0.23033714155169846,0.8178298016176553,strategy,random,0.0
model_1_strategy_seed,strategy[right_to_left],0.1378434841211767,1.1477958879324313,1.0258382494550782,1.2842525622869059,2.405101470269454,0.01616797584135153,strategy,random,0.0
model_1_strategy_seed,strategy[alternate_sides],0.14920877064039753,1.160915328948166,1.037602841775506,1.2988827195968875,2.6042782421682436,0.009206797941677737,strategy,random,0.0
model_1_strategy_seed,strategy[nearest_first],0.047932024611474146,1.049099339965417,0.9372888534722845,1.1742478543712016,0.8336315388407263,0.40448864747155633,strategy,random,0.0
model_1_strategy_seed,strategy[farthest_first],0.0971185787616242,1.1019910386064904,0.9847525819012699,1.2331871695369305,1.6922706534180514,0.09059438058522237,strategy,random,0.0
model_1_strategy_seed,strategy[coverage_balanced],0.03144956420376498,1.031949327097117,0.9218939649179078,1.1551430579014808,0.5465869839708654,0.584662513312954,strategy,random,0.0
model_1_strategy_seed,strategy[hybrid_suspicion_position],-0.15527827343210035,0.8561768930485237,0.7639749037779552,0.9595064819083072,-2.6710540563634484,0.00756134688447477,strategy,random,-0.0
model_1_strategy_seed,strategy[information_gain_proxy],0.024843419171097558,1.0251545884014253,0.9157939385586789,1.1475746735936245,0.43164843383874074,0.6659969510028569,strategy,random,0.0
model_1_strategy_seed,seed[43],0.03139836489794764,1.0318964933604677,0.964573338138697,1.1039185211819733,0.9121509256183773,0.36168927335536266,covariate,,
model_1_strategy_seed,seed[44],-0.05735262499733711,0.9442610406059121,0.8824013789994845,1.0104572975816724,-1.659067389237881,0.09710221366785901,covariate,,
model_1_strategy_seed,seed[45],-0.023817706028470515,0.9764636969797944,0.9126008899545529,1.044795553034066,-0.6901750857996343,0.49008408896356226,covariate,,
model_1_strategy_seed,seed[46],0.01601730116692388,1.0161462657701772,0.9498078832272514,1.0871179863555906,0.46500648380515197,0.6419268134016315,covariate,,
model_2_add_first_check_wolf,strategy[default],-5.4753030126186726e-15,0.9999999999999946,0.8923385203569948,1.1206509381662941,-9.421140467373951e-14,0.9999999999999248,strategy,random,-722.1143563488408
model_2_add_first_check_wolf,strategy[edge_first],0.041647096137907715,1.0425265021954502,0.9304665907941961,1.168082248769613,0.7178247723300479,0.4728653369851464,strategy,random,-9.459038796280607
model_2_add_first_check_wolf,strategy[inner_first],0.08389302738802382,1.0875125535279175,0.9707395063335342,1.2183325664243192,1.4475756661221697,0.14773576069886282,strategy,random,-30.330556413977458
model_2_add_first_check_wolf,strategy[highest_p_wolf],-0.23153301163264878,0.7933165063977706,0.7067083226632512,0.8905386552565786,-3.9255021383498057,8.654900117022055e-05,strategy,random,3.7398595768310536
model_2_add_first_check_wolf,strategy[highest_suspicion],-0.23975663938866823,0.7868193185993794,0.7009057967399687,0.8832636896436853,-4.064193911853938,4.819874366878016e-05,strategy,random,1.0457268918823968
model_2_add_first_check_wolf,strategy[left_to_right],0.019131862812207162,1.0193160496367981,0.9096375195519221,1.1422189462446213,0.3293933379753597,0.7418584026252556,strategy,random,-44.24002526471472
